Model,Precision,Recall,F1 Score,Specificity,AUROC,AUPRC,Accuracy,Cohen's Kappa
LightGBM,0.7774915254237288,0.8758209867114709,0.8237322223818417,0.8422418765621996,0.9321053317547966,0.915318278123585,0.8552126969142723,0.6941099042127848
LightGBM_LSTM,0.8221433640880057,0.8846800061096686,0.8522660388463802,0.879542395693136,0.9377701595200861,0.9024826744139345,0.8815269337424037,0.7496598088516948
GPBoost,0.8227521263669502,0.8274018634489079,0.8250704439875104,0.8878100365314363,0.928457511034862,0.9085915963007287,0.8644757802820225,0.7081245817454489
GPBoost_LSTM,0.8374219770648861,0.8811669466931419,0.8587377195593927,0.892328398384926,0.9458123734414787,0.9220844474852613,0.8880169921529294,0.7632304900177419
