Experiment,Features,Train_Acc,Val_Acc,Test_Acc,Val_F1,Overfit_Gap
norm_minmax,366,0.9040926852677041,0.5574053714465211,0.5466573274184762,0.5467502210444586,0.346687313821183
combined_minmax_fs,343,0.9069262585407097,0.5541071148107429,0.540431161958129,0.5408591672865485,0.3528191437299668
norm_zscore,366,0.9247731998811727,0.5391864300298413,0.5615222974550549,0.5317795685465303,0.38558676985133133
norm_percentile,366,0.9274011105779119,0.536673472593058,0.540898124367655,0.5351264298161841,0.3907276379848539
norm_robust,366,0.9144215168757569,0.5241086854091409,0.5595766207486964,0.5223032664126338,0.390312831466616
baseline,366,0.9173921985329403,0.5071462227108529,0.5525721846058059,0.5128217014748364,0.41024597582208744
feature_selection,343,0.9049610383674962,0.49222553792995133,0.5361506732041404,0.4997197908392245,0.41273550043754487
